Facility_ID,Facility_Name,Facility_Type,Address_Line1,Address_Line2,City,State,Zip_Code,Country,Phone_Number,Email,Square_Footage,Year_Built,Ownership_Type,Production_Capacity_Units_Day,Warehouse_Capacity_Pallets,Number_of_Loading_Docks,Number_of_Production_Lines,Number_of_Employees,Operating_Hours,Maintenance_Schedule,ISO_Certified,Last_Audit_Date,Energy_Consumption_kWh_Month,Water_Usage_Gallons_Month,Waste_Management_Vendor,Security_Level,Insurance_Policy_Number,Property_Tax_ID,Facility_Manager,Emergency_Contact,Latitude,Longitude
FAC001,Detroit Manufacturing Center,Production,2122 Woodward Ave,,Detroit,MI,48201,USA,313-555-7890,detroit.ops@oai-auto.com,325000,1998,Owned,12500,8500,18,6,450,24/7,Quarterly,Yes,2025-01-15,685000,420000,Waste Management Inc.,Level 3,POL-78542-DTM,DTX-45678-01,Michael Johnson,313-555-9012,42.3385,-83.0524
FAC002,Cleveland Assembly Plant,Assembly,1265 Industrial Parkway,,Cleveland,OH,44135,USA,216-555-4321,cleveland.ops@oai-auto.com,275000,2005,Leased,9800,6200,14,5,380,24/7,Bi-monthly,Yes,2025-02-10,580000,350000,Republic Services,Level 3,POL-65432-CLV,CTX-78901-02,Sarah Williams,216-555-6789,41.4374,-81.8459
FAC003,Nashville Distribution Center,Distribution,1248 Antioch Pike,,Nashville,TN,37211,USA,615-555-8765,nashville.dist@oai-auto.com,185000,2010,Owned,0,12500,22,0,120,6am-10pm,Quarterly,Yes,2025-01-28,210000,85000,Waste Connections,Level 2,POL-98765-NSH,NTX-12345-03,Robert Chen,615-555-2345,36.0726,-86.7156
FAC004,Phoenix Manufacturing Plant,Production,5005 E Washington St,,Phoenix,AZ,85034,USA,602-555-3456,phoenix.ops@oai-auto.com,290000,2012,Owned,11200,7800,16,5,410,24/7,Quarterly,Yes,2025-03-05,720000,380000,Waste Management Inc.,Level 3,POL-34567-PHX,PTX-56789-04,Jennifer Garcia,602-555-7890,33.4484,-112.0740
FAC005,Charlotte Technical Center,R&D,8600 McAlpine Park Dr,,Charlotte,NC,28211,USA,704-555-9012,charlotte.tech@oai-auto.com,120000,2015,Leased,1500,2000,6,3,180,8am-6pm,Monthly,Yes,2025-02-20,320000,110000,GFL Environmental,Level 4,POL-23456-CLT,CTX-89012-05,David Wilson,704-555-3456,35.1468,-80.8226
FAC006,Indianapolis Parts Plant,Production,7225 E 10th St,,Indianapolis,IN,46219,USA,317-555-6789,indy.parts@oai-auto.com,210000,2001,Owned,8500,5500,12,4,290,24/7,Quarterly,Yes,2025-01-08,490000,280000,Republic Services,Level 3,POL-87654-IND,ITX-34567-06,Amanda Taylor,317-555-0123,39.7795,-86.0187
FAC007,Portland Logistics Hub,Distribution,2400 NW Front Ave,,Portland,OR,97209,USA,503-555-2345,portland.dist@oai-auto.com,165000,2018,Leased,0,10800,20,0,95,6am-10pm,Quarterly,Yes,2025-03-12,180000,70000,Waste Connections,Level 2,POL-45678-PDX,PTX-67890-07,Kevin Martinez,503-555-6789,45.5370,-122.7185
FAC008,Austin Innovation Center,R&D,4616 W Howard Ln,,Austin,TX,78728,USA,512-555-7890,austin.tech@oai-auto.com,95000,2020,Leased,800,1200,4,2,150,8am-6pm,Monthly,Yes,2025-02-25,280000,90000,Texas Disposal Systems,Level 4,POL-12345-AUS,ATX-90123-08,Michelle Lee,512-555-2345,30.4316,-97.6788
FAC009,Pittsburgh Manufacturing Complex,Production,300 Corliss St,,Pittsburgh,PA,15220,USA,412-555-4567,pittsburgh.ops@oai-auto.com,305000,1995,Owned,10500,7200,15,5,420,24/7,Quarterly,Yes,2025-01-20,650000,390000,Waste Management Inc.,Level 3,POL-56789-PIT,PTX-12345-09,Christopher Brown,412-555-8901,40.4467,-80.0326
FAC010,Denver Distribution Center,Distribution,5555 E 58th Ave,,Denver,CO,80216,USA,303-555-0123,denver.dist@oai-auto.com,175000,2014,Owned,0,11500,21,0,110,6am-10pm,Quarterly,Yes,2025-03-18,195000,75000,GFL Environmental,Level 2,POL-67890-DEN,DTX-45678-10,Stephanie Rodriguez,303-555-4567,39.8027,-104.9418
