EBOM_ID,Batch_ID,Product_ID,Part_ID,Quantity_Per_Unit,Revision_Number,Effective_Date,Status,Engineering_Approval,Quality_Approval,Manufacturing_Approval,Notes
EBOM10001,PB00001,PRD10001,PRT20001,1,A,2024-12-15,Active,ENG123,QA456,MFG789,"Standard design"
EBOM10002,PB00001,PRD10001,PRT20002,1,A,2024-12-15,Active,ENG123,QA456,MFG789,"Standard design"
EBOM10003,PB00001,PRD10001,PRT20003,1,A,2024-12-15,Active,ENG123,QA456,MFG789,"Standard design"
EBOM10004,PB00001,PRD10001,PRT20004,2,A,2024-12-15,Active,ENG123,QA456,MFG789,"Standard design"
EBOM10005,PB00001,PRD10001,PRT20005,1,A,2024-12-15,Active,ENG123,QA456,MFG789,"Standard design"
EBOM10006,PB00001,PRD10001,PRT20006,1,A,2024-12-15,Active,ENG123,QA456,MFG789,"Standard design"
EBOM10007,PB00001,PRD10001,PRT20007,1,A,2024-12-15,Active,ENG123,QA456,MFG789,"Standard design"
EBOM10008,PB00001,PRD10001,PRT20008,1,A,2024-12-15,Active,ENG123,QA456,MFG789,"Standard design"
EBOM10009,PB00001,PRD10001,PRT20009,1,A,2024-12-15,Active,ENG123,QA456,MFG789,"Standard design"
EBOM10010,PB00001,PRD10001,PRT20010,2,A,2024-12-15,Active,ENG123,QA456,MFG789,"Standard design"
EBOM10011,PB00001,PRD10001,PRT20011,1,A,2024-12-15,Active,ENG123,QA456,MFG789,"Standard design"
EBOM10012,PB00001,PRD10001,PRT20012,1,A,2024-12-15,Active,ENG123,QA456,MFG789,"Standard design"
EBOM10013,PB00001,PRD10001,PRT20013,1,A,2024-12-15,Active,ENG123,QA456,MFG789,"Standard design"
EBOM10014,PB00001,PRD10001,PRT20014,1,A,2024-12-15,Active,ENG123,QA456,MFG789,"Standard design"
EBOM10015,PB00001,PRD10001,PRT20015,1,A,2024-12-15,Active,ENG123,QA456,MFG789,"Standard design"
EBOM10016,PB00001,PRD10001,PRT20016,2,A,2024-12-15,Active,ENG123,QA456,MFG789,"Standard design"
EBOM10017,PB00021,PRD10001,PRT20001,1,A,2024-12-15,Active,ENG124,QA457,MFG790,"Secondary facility design"
EBOM10018,PB00021,PRD10001,PRT20002,1,A,2024-12-15,Active,ENG124,QA457,MFG790,"Secondary facility design"
EBOM10019,PB00021,PRD10001,PRT20003,1,A,2024-12-15,Active,ENG124,QA457,MFG790,"Secondary facility design"
EBOM10020,PB00021,PRD10001,PRT20004,2,A,2024-12-15,Active,ENG124,QA457,MFG790,"Secondary facility design"
EBOM10021,PB00021,PRD10001,PRT20005,1,A,2024-12-15,Active,ENG124,QA457,MFG790,"Secondary facility design"
EBOM10022,PB00021,PRD10001,PRT20006,1,A,2024-12-15,Active,ENG124,QA457,MFG790,"Secondary facility design"
EBOM10023,PB00021,PRD10001,PRT20007,1,A,2024-12-15,Active,ENG124,QA457,MFG790,"Secondary facility design"
EBOM10024,PB00021,PRD10001,PRT20008,1,A,2024-12-15,Active,ENG124,QA457,MFG790,"Secondary facility design"
EBOM10025,PB00021,PRD10001,PRT20009,1,A,2024-12-15,Active,ENG124,QA457,MFG790,"Secondary facility design"
EBOM10026,PB00021,PRD10001,PRT20010,2,A,2024-12-15,Active,ENG124,QA457,MFG790,"Secondary facility design"
EBOM10027,PB00021,PRD10001,PRT20011,1,A,2024-12-15,Active,ENG124,QA457,MFG790,"Secondary facility design"
EBOM10028,PB00021,PRD10001,PRT20012,1,A,2024-12-15,Active,ENG124,QA457,MFG790,"Secondary facility design"
EBOM10029,PB00021,PRD10001,PRT20013,1,A,2024-12-15,Active,ENG124,QA457,MFG790,"Secondary facility design"
EBOM10030,PB00021,PRD10001,PRT20014,1,A,2024-12-15,Active,ENG124,QA457,MFG790,"Secondary facility design"
EBOM10031,PB00021,PRD10001,PRT20015,1,A,2024-12-15,Active,ENG124,QA457,MFG790,"Secondary facility design"
EBOM10032,PB00021,PRD10001,PRT20016,2,A,2024-12-15,Active,ENG124,QA457,MFG790,"Secondary facility design"
EBOM10033,PB00023,PRD10001,PRT20001,1,A,2024-12-15,Active,ENG125,QA458,MFG791,"Tertiary facility design"
EBOM10034,PB00023,PRD10001,PRT20002,1,A,2024-12-15,Active,ENG125,QA458,MFG791,"Tertiary facility design"
EBOM10035,PB00023,PRD10001,PRT20003,1,A,2024-12-15,Active,ENG125,QA458,MFG791,"Tertiary facility design"
EBOM10036,PB00023,PRD10001,PRT20004,2,A,2024-12-15,Active,ENG125,QA458,MFG791,"Tertiary facility design"
EBOM10037,PB00023,PRD10001,PRT20005,1,A,2024-12-15,Active,ENG125,QA458,MFG791,"Tertiary facility design"
EBOM10038,PB00023,PRD10001,PRT20006,1,A,2024-12-15,Active,ENG125,QA458,MFG791,"Tertiary facility design"
EBOM10039,PB00023,PRD10001,PRT20007,1,A,2024-12-15,Active,ENG125,QA458,MFG791,"Tertiary facility design"
EBOM10040,PB00023,PRD10001,PRT20008,1,A,2024-12-15,Active,ENG125,QA458,MFG791,"Tertiary facility design"
EBOM10041,PB00023,PRD10001,PRT20009,1,A,2024-12-15,Active,ENG125,QA458,MFG791,"Tertiary facility design"
EBOM10042,PB00023,PRD10001,PRT20010,2,A,2024-12-15,Active,ENG125,QA458,MFG791,"Tertiary facility design"
EBOM10043,PB00023,PRD10001,PRT20011,1,A,2024-12-15,Active,ENG125,QA458,MFG791,"Tertiary facility design"
EBOM10044,PB00023,PRD10001,PRT20012,1,A,2024-12-15,Active,ENG125,QA458,MFG791,"Tertiary facility design"
EBOM10045,PB00023,PRD10001,PRT20013,1,A,2024-12-15,Active,ENG125,QA458,MFG791,"Tertiary facility design"
EBOM10046,PB00023,PRD10001,PRT20014,1,A,2024-12-15,Active,ENG125,QA458,MFG791,"Tertiary facility design"
EBOM10047,PB00023,PRD10001,PRT20015,1,A,2024-12-15,Active,ENG125,QA458,MFG791,"Tertiary facility design"
EBOM10048,PB00023,PRD10001,PRT20016,2,A,2024-12-15,Active,ENG125,QA458,MFG791,"Tertiary facility design"
EBOM10049,PB00042,PRD10001,PRT20001,1,B,2025-01-01,Active,ENG126,QA459,MFG792,"Revised design with improved sealing"
EBOM10050,PB00042,PRD10001,PRT20002,1,B,2025-01-01,Active,ENG126,QA459,MFG792,"Revised design with improved sealing"
EBOM10051,PB00042,PRD10001,PRT20003,1,B,2025-01-01,Active,ENG126,QA459,MFG792,"Revised design with improved sealing"
EBOM10052,PB00042,PRD10001,PRT20004,2,B,2025-01-01,Active,ENG126,QA459,MFG792,"Revised design with improved sealing"
EBOM10053,PB00042,PRD10001,PRT20005,1,B,2025-01-01,Active,ENG126,QA459,MFG792,"Revised design with improved sealing"
EBOM10054,PB00042,PRD10001,PRT20006,1,B,2025-01-01,Active,ENG126,QA459,MFG792,"Revised design with improved sealing"
