Config_ID,Line_ID,Machine_ID,Sequence_Number,Setup_Time_Minutes,Changeover_Time_Minutes,Bottleneck_Status,Last_Calibration_Date,Next_Calibration_Date,Operator_Skill_Level_Required,Maintenance_Priority
LC001,PL001,MCH001,1,45,90,No,2025-02-05,2025-05-05,3,Medium
LC002,PL001,MCH002,2,30,60,No,2025-02-10,2025-05-10,3,Medium
LC003,PL001,MCH003,3,40,75,Yes,2025-02-15,2025-05-15,4,High
LC004,PL001,MCH004,4,25,45,No,2025-02-20,2025-05-20,2,Low
LC005,PL001,MCH005,5,35,65,No,2025-02-25,2025-05-25,3,Medium
LC006,PL001,MCH006,6,20,30,No,2025-03-01,2025-06-01,3,Medium
LC007,PL001,MCH007,7,30,50,No,2025-03-05,2025-06-05,2,Low
LC008,PL002,MCH035,1,50,95,No,2025-03-08,2025-06-08,4,High
LC009,PL002,MCH036,2,35,65,No,2025-03-12,2025-06-12,3,Medium
LC010,PL002,MCH037,3,45,80,Yes,2025-03-15,2025-06-15,4,High
LC011,PL002,MCH004,4,25,45,No,2025-03-18,2025-06-18,2,Low
LC012,PL002,MCH005,5,35,65,No,2025-03-20,2025-06-20,3,Medium
LC013,PL003,MCH008,1,55,100,No,2025-01-15,2025-04-15,4,High
LC014,PL003,MCH009,2,60,110,Yes,2025-01-20,2025-04-20,4,High
LC015,PL003,MCH010,3,45,85,No,2025-01-25,2025-04-25,3,Medium
LC016,PL003,MCH011,4,65,120,No,2025-02-01,2025-05-01,4,High
LC017,PL003,MCH012,5,50,90,No,2025-02-05,2025-05-05,3,Medium
LC018,PL004,MCH038,1,60,105,No,2025-02-15,2025-05-15,4,High
LC019,PL004,MCH039,2,65,115,Yes,2025-02-20,2025-05-20,4,High
LC020,PL004,MCH040,3,50,90,No,2025-02-25,2025-05-25,3,Medium
LC021,PL004,MCH011,4,65,120,No,2025-03-01,2025-06-01,4,High
LC022,PL004,MCH013,5,40,75,No,2025-03-05,2025-06-05,3,Medium
LC023,PL005,MCH016,1,50,95,No,2025-01-10,2025-04-10,3,Medium
LC024,PL005,MCH017,2,40,75,Yes,2025-01-15,2025-04-15,4,High
LC025,PL005,MCH018,3,35,65,No,2025-01-20,2025-04-20,3,Medium
LC026,PL005,MCH019,4,30,55,No,2025-01-25,2025-04-25,3,Medium
LC027,PL005,MCH020,5,25,40,No,2025-02-01,2025-05-01,2,Low
LC028,PL006,MCH001,1,45,90,No,2025-02-10,2025-05-10,3,Medium
LC029,PL006,MCH002,2,30,60,No,2025-02-15,2025-05-15,3,Medium
LC030,PL006,MCH003,3,40,75,Yes,2025-02-20,2025-05-20,4,High
LC031,PL006,MCH004,4,25,45,No,2025-02-25,2025-05-25,2,Low
LC032,PL007,MCH008,1,55,100,No,2025-02-15,2025-05-15,4,High
LC033,PL007,MCH009,2,60,110,Yes,2025-02-20,2025-05-20,4,High
LC034,PL007,MCH010,3,45,85,No,2025-02-25,2025-05-25,3,Medium
LC035,PL007,MCH012,4,50,90,No,2025-03-01,2025-06-01,3,Medium
LC036,PL008,MCH041,1,55,100,No,2025-02-20,2025-05-20,3,Medium
LC037,PL008,MCH042,2,45,80,Yes,2025-02-25,2025-05-25,4,High
LC038,PL008,MCH043,3,40,70,No,2025-03-01,2025-06-01,3,Medium
LC039,PL008,MCH019,4,30,55,No,2025-03-05,2025-06-05,3,Medium
LC040,PL009,MCH022,1,50,95,No,2025-02-20,2025-05-20,3,Medium
LC041,PL009,MCH023,2,45,85,No,2025-02-25,2025-05-25,3,Medium
LC042,PL009,MCH024,3,40,75,Yes,2025-03-01,2025-06-01,4,High
LC043,PL009,MCH025,4,35,65,No,2025-03-05,2025-06-05,3,Medium
LC044,PL010,MCH028,1,60,110,No,2025-03-01,2025-06-01,4,High
LC045,PL010,MCH029,2,55,100,Yes,2025-03-05,2025-06-05,4,High
LC046,PL010,MCH030,3,65,120,No,2025-03-08,2025-06-08,4,High
LC047,PL010,MCH031,4,50,90,No,2025-03-10,2025-06-10,3,Medium
LC048,PL010,MCH032,5,45,80,No,2025-03-12,2025-06-12,3,Medium
LC049,PL011,MCH035,1,50,95,No,2025-03-05,2025-06-05,4,High
LC050,PL011,MCH036,2,35,65,No,2025-03-08,2025-06-08,3,Medium
LC051,PL011,MCH037,3,45,80,Yes,2025-03-10,2025-06-10,4,High
LC052,PL011,MCH004,4,25,45,No,2025-03-12,2025-06-12,2,Low
LC053,PL011,MCH005,5,35,65,No,2025-03-15,2025-06-15,3,Medium
LC054,PL012,MCH001,1,45,90,No,2025-03-10,2025-06-10,3,Medium
LC055,PL012,MCH002,2,30,60,No,2025-03-12,2025-06-12,3,Medium
LC056,PL012,MCH003,3,40,75,Yes,2025-03-15,2025-06-15,4,High
LC057,PL012,MCH004,4,25,45,No,2025-03-18,2025-06-18,2,Low
LC058,PL013,MCH038,1,60,105,No,2025-02-25,2025-05-25,4,High
LC059,PL013,MCH039,2,65,115,Yes,2025-02-28,2025-05-28,4,High
LC060,PL013,MCH040,3,50,90,No,2025-03-02,2025-06-02,3,Medium
LC061,PL013,MCH013,4,40,75,No,2025-03-05,2025-06-05,3,Medium
LC062,PL014,MCH016,1,50,95,No,2025-02-20,2025-05-20,3,Medium
LC063,PL014,MCH017,2,40,75,Yes,2025-02-25,2025-05-25,4,High
LC064,PL014,MCH018,3,35,65,No,2025-02-28,2025-05-28,3,Medium
LC065,PL014,MCH020,4,25,40,No,2025-03-02,2025-06-02,2,Low
LC066,PL015,MCH044,1,55,100,No,2025-03-08,2025-06-08,3,Medium
LC067,PL015,MCH045,2,50,90,No,2025-03-10,2025-06-10,3,Medium
LC068,PL015,MCH046,3,45,80,Yes,2025-03-12,2025-06-12,4,High
LC069,PL015,MCH025,4,35,65,No,2025-03-15,2025-06-15,3,Medium
LC070,PL016,MCH001,1,45,90,No,2025-02-10,2025-05-10,3,Medium
LC071,PL016,MCH002,2,30,60,No,2025-02-15,2025-05-15,3,Medium
LC072,PL016,MCH003,3,40,75,Yes,2025-02-18,2025-05-18,4,High
LC073,PL017,MCH008,1,55,100,No,2025-02-28,2025-05-28,4,High
LC074,PL017,MCH009,2,60,110,Yes,2025-03-02,2025-06-02,4,High
LC075,PL017,MCH010,3,45,85,No,2025-03-05,2025-06-05,3,Medium
LC076,PL018,MCH041,1,55,100,No,2025-02-20,2025-05-20,3,Medium
LC077,PL018,MCH042,2,45,80,Yes,2025-02-25,2025-05-25,4,High
LC078,PL018,MCH043,3,40,70,No,2025-02-28,2025-05-28,3,Medium
