Supplier_ID,Company_Name,Material_Category,Primary_Material,Region,Country,Credit_Rating,Payment_Terms,Lead_Time_Days,Min_Order_Qty,Quality_Cert,Tax_ID,Currency,Status
SPL100001,ThyssenKrupp AG,Steel,Carbon Steel,Europe,Germany,AA,Net 60,45,5000 KG,ISO 9001/TS 16949,DE123456789,EUR,Active
SPL100002,Gerdau Special Steel,Steel,Alloy Steel,Americas,USA,A+,Net 45,30,2000 KG,ISO 9001/TS 16949,US234567890,USD,Active
SPL100003,POSCO,Steel,Stainless Steel,Asia,South Korea,AA-,Net 60,40,3000 KG,ISO 9001/TS 16949,KR345678901,USD,Active
SPL100004,Ternium,Steel,Carbon Steel,Americas,Mexico,BBB+,Net 30,35,2500 KG,ISO 9001,MX456789012,USD,Active
SPL100005,Tata Steel,Steel,Various Steel,Asia,India,BBB,Net 45,50,4000 KG,ISO 9001/TS 16949,IN567890123,USD,Active
SPL100006,DuPont,Rubber,Synthetic Rubber,Americas,USA,AA,Net 60,30,1000 KG,ISO 9001/TS 16949,US678901234,USD,Active
SPL100007,Freudenberg Group,Rubber,Natural Rubber,Europe,Germany,A+,Net 45,35,800 KG,ISO 9001/TS 16949,DE789012345,EUR,Active
SPL100008,Sumitomo Rubber,Rubber,Various Rubber,Asia,Japan,A,Net 60,40,1200 KG,ISO 9001/TS 16949,JP890123456,JPY,Active
SPL100009,Industrias PKS,Rubber,Synthetic Rubber,Americas,Brazil,BBB,Net 30,45,1500 KG,ISO 9001,BR901234567,BRL,Active
SPL100010,NOK Corporation,Rubber,Specialized Rubber,Asia,Japan,A+,Net 45,35,1000 KG,ISO 9001/TS 16949,JP012345678,JPY,Active
SPL100011,BASF SE,Plastics,Polypropylene,Europe,Germany,AA+,Net 60,30,2000 KG,ISO 9001/TS 16949,DE123456780,EUR,Active
SPL100012,Dow Chemical,Plastics,Polyethylene,Americas,USA,AA,Net 45,25,1500 KG,ISO 9001/TS 16949,US234567891,USD,Active
SPL100013,LG Chem,Plastics,Various Polymers,Asia,South Korea,A+,Net 60,35,2500 KG,ISO 9001/TS 16949,KR345678902,USD,Active
SPL100014,Braskem,Plastics,Polyethylene,Americas,Brazil,BBB+,Net 30,40,3000 KG,ISO 9001,BR456789013,BRL,Active
SPL100015,Reliance Industries,Plastics,Various Polymers,Asia,India,BBB,Net 45,45,2000 KG,ISO 9001,IN567890124,USD,Active
SPL100016,Ahlstrom-Munksjö,Filter Media,Cellulose Media,Europe,Finland,A+,Net 45,40,500 KG,ISO 9001/TS 16949,FI678901235,EUR,Active
SPL100017,Hollingsworth & Vose,Filter Media,Synthetic Media,Americas,USA,A,Net 60,35,400 KG,ISO 9001/TS 16949,US789012346,USD,Active
SPL100018,Toyobo,Filter Media,Various Media,Asia,Japan,A,Net 45,45,600 KG,ISO 9001/TS 16949,JP890123457,JPY,Active
SPL100019,Fiberweb Brazil,Filter Media,Nonwoven Media,Americas,Brazil,BBB,Net 30,50,800 KG,ISO 9001,BR901234568,BRL,Active
SPL100020,KNH Enterprise,Filter Media,Synthetic Media,Asia,Taiwan,BBB+,Net 45,40,500 KG,ISO 9001,TW012345679,USD,Active
SPL100021,Aurubis AG,Copper,Copper Wire,Europe,Germany,A+,Net 60,45,1000 KG,ISO 9001/TS 16949,DE123456781,EUR,Active
