Batch_ID,Product_ID,Line_ID,Facility_ID,Production_Date,Shift,Quantity_Produced,Quantity_Rejected,Start_Time,End_Time,Cycle_Time_Seconds,Operator_ID,Quality_Check_Status,Material_Lot_Number,Downtime_Minutes,Energy_Consumption_kWh,Notes
PB00001,PRD10001,PL001,FAC001,2024-10-15,Morning,2850,32,07:00:00,15:00:00,8.5,OP125,Passed,ML-78542-01,45,1250,"Standard production run"
PB00002,PRD10002,PL006,FAC002,2024-11-20,Morning,2650,45,07:00:00,15:00:00,9.1,OP238,Passed,ML-65432-01,60,1180,"Minor material feed issues"
PB00003,PRD10003,PL011,FAC004,2024-09-30,Morning,2450,28,07:00:00,15:00:00,9.8,OP312,Passed,ML-98765-01,30,1320,"Smooth production run"
PB00004,PRD10004,PL020,FAC009,2024-08-15,Morning,1950,22,07:00:00,15:00:00,12.3,OP427,Passed,ML-34567-01,25,1380,"High efficiency run"
PB00005,PRD10005,PL003,FAC001,2025-01-01,Morning,1750,18,07:00:00,15:00:00,13.7,OP156,Passed,ML-23456-01,35,1420,"Quality above target"
PB00006,PRD10006,PL007,FAC002,2025-01-01,Morning,1650,25,07:00:00,15:00:00,14.5,OP241,Passed,ML-87654-01,40,1350,"Standard production run"
PB00007,PRD10007,PL013,FAC004,2025-01-01,Morning,1450,15,07:00:00,15:00:00,16.6,OP318,Passed,ML-45678-01,20,1480,"Premium product run"
PB00008,PRD10008,PL022,FAC009,2025-01-01,Morning,1250,14,07:00:00,15:00:00,19.2,OP431,Passed,ML-01234-01,15,1520,"Commercial grade production"
PB00009,PRD10009,PL005,FAC001,2025-01-01,Morning,1850,21,07:00:00,15:00:00,13.0,OP162,Passed,ML-67890-01,30,1280,"Standard production run"
PB00010,PRD10010,PL014,FAC004,2025-01-01,Morning,1650,19,07:00:00,15:00:00,14.5,OP324,Passed,ML-12345-01,25,1350,"High-flow variant production"
PB00011,PRD10011,PL008,FAC002,2025-01-01,Morning,1550,17,07:00:00,15:00:00,15.5,OP245,Passed,ML-89012-01,35,1380,"Heavy duty variant production"
PB00012,PRD10012,PL018,FAC006,2025-01-01,Morning,1350,12,07:00:00,15:00:00,17.8,OP352,Passed,ML-56789-01,20,1320,"Washable filter production"
PB00013,PRD10013,PL009,FAC002,2025-01-01,Morning,1750,23,07:00:00,15:00:00,13.7,OP248,Passed,ML-90123-01,40,1250,"Standard cabin filter run"
PB00014,PRD10014,PL024,FAC009,2025-01-01,Morning,1550,16,07:00:00,15:00:00,15.5,OP435,Passed,ML-67890-01,30,1320,"HEPA grade production"
PB00015,PRD10015,PL015,FAC004,2025-01-01,Morning,1450,15,07:00:00,15:00:00,16.6,OP328,Passed,ML-34567-01,25,1380,"Carbon filter production"
PB00016,PRD10016,PL015,FAC004,2025-01-01,Afternoon,1400,18,15:00:00,23:00:00,17.1,OP329,Passed,ML-34567-01,35,1390,"Hypoallergenic variant production"
PB00017,PRD10017,PL010,FAC002,2025-01-01,Morning,1250,8,07:00:00,15:00:00,19.2,OP252,Passed,ML-12345-01,45,1650,"Standard alternator production"
PB00018,PRD10018,PL010,FAC002,2025-01-01,Afternoon,1150,7,15:00:00,23:00:00,20.9,OP253,Passed,ML-12345-01,40,1720,"High-output alternator production"
PB00019,PRD10019,PL019,FAC006,2025-01-01,Morning,1050,6,07:00:00,15:00:00,22.9,OP356,Passed,ML-78901-01,30,1780,"Heavy duty alternator production"
PB00020,PRD10020,PL019,FAC006,2025-01-01,Afternoon,1100,9,15:00:00,23:00:00,21.8,OP357,Passed,ML-78901-01,35,1750,"Compact alternator production"
PB00021,PRD10001,PL021,FAC009,2025-01-01,Morning,2750,30,07:00:00,15:00:00,8.7,OP438,Passed,ML-23456-01,40,1270,"Secondary facility production"
PB00022,PRD10002,PL012,FAC004,2025-01-01,Morning,2700,42,07:00:00,15:00:00,8.9,OP332,Passed,ML-90123-01,55,1200,"High volume production"
PB00023,PRD10001,PL016,FAC006,2025-01-01,Morning,2650,38,07:00:00,15:00:00,9.1,OP360,Passed,ML-56789-01,60,1220,"Tertiary facility production"
PB00024,PRD10003,PL002,FAC001,2025-01-02,Morning,2500,26,07:00:00,15:00:00,9.6,OP128,Passed,ML-98765-02,35,1310,"Heavy duty filter production"
PB00025,PRD10004,PL002,FAC001,2025-01-02,Afternoon,2000,20,15:00:00,23:00:00,12.0,OP129,Passed,ML-98765-02,30,1370,"Racing filter production"
PB00026,PRD10005,PL017,FAC006,2025-01-02,Morning,1800,16,07:00:00,15:00:00,13.3,OP363,Passed,ML-23456-02,25,1410,"Ceramic pad production"
PB00027,PRD10006,PL003,FAC001,2025-01-02,Morning,1700,22,07:00:00,15:00:00,14.1,OP132,Passed,ML-87654-02,35,1340,"Semi-metallic pad production"
PB00028,PRD10007,PL004,FAC001,2025-01-02,Morning,1500,13,07:00:00,15:00:00,16.0,OP135,Passed,ML-45678-02,15,1470,"Performance pad production"
PB00029,PRD10008,PL004,FAC001,2025-01-02,Afternoon,1300,12,15:00:00,23:00:00,18.5,OP136,Passed,ML-45678-02,20,1510,"Commercial pad production"
PB00030,PRD10009,PL023,FAC009,2025-01-02,Morning,1900,18,07:00:00,15:00:00,12.6,OP442,Passed,ML-67890-02,25,1270,"Standard air filter production"
PB00031,PRD10010,PL005,FAC001,2025-01-02,Morning,1700,17,07:00:00,15:00:00,14.1,OP138,Passed,ML-12345-02,20,1340,"High-flow air filter production"
PB00032,PRD10011,PL018,FAC006,2025-01-02,Morning,1600,15,07:00:00,15:00:00,15.0,OP366,Passed,ML-89012-02,30,1370,"Heavy duty air filter production"
PB00033,PRD10012,PL008,FAC002,2025-01-02,Morning,1400,11,07:00:00,15:00:00,17.1,OP256,Passed,ML-56789-02,15,1310,"Washable air filter production"
PB00034,PRD10013,PL024,FAC009,2025-01-02,Morning,1800,21,07:00:00,15:00:00,13.3,OP445,Passed,ML-90123-02,35,1240,"Standard cabin filter production"
PB00035,PRD10014,PL009,FAC002,2025-01-02,Morning,1600,14,07:00:00,15:00:00,15.0,OP259,Passed,ML-67890-02,25,1310,"HEPA cabin filter production"
PB00036,PRD10015,PL015,FAC004,2025-01-02,Afternoon,1500,13,15:00:00,23:00:00,16.0,OP335,Passed,ML-34567-02,20,1370,"Carbon cabin filter production"
PB00037,PRD10016,PL015,FAC004,2025-01-02,Morning,1450,16,07:00:00,15:00:00,16.6,OP336,Passed,ML-34567-02,30,1380,"Hypoallergenic cabin filter production"
PB00038,PRD10017,PL010,FAC002,2025-01-02,Afternoon,1300,7,15:00:00,23:00:00,18.5,OP262,Passed,ML-12345-02,40,1640,"Standard alternator production"
PB00039,PRD10018,PL010,FAC002,2025-01-02,Morning,1200,6,07:00:00,15:00:00,20.0,OP263,Passed,ML-12345-02,35,1710,"High-output alternator production"
PB00040,PRD10019,PL019,FAC006,2025-01-02,Afternoon,1100,5,15:00:00,23:00:00,21.8,OP369,Passed,ML-78901-02,25,1770,"Heavy duty alternator production"
PB00041,PRD10020,PL019,FAC006,2025-01-02,Morning,1150,8,07:00:00,15:00:00,20.9,OP370,Passed,ML-78901-02,30,1740,"Compact alternator production"
PB00042,PRD10001,PL006,FAC002,2025-01-03,Morning,2900,30,07:00:00,15:00:00,8.3,OP265,Passed,ML-78542-03,40,1240,"High efficiency production"
PB00043,PRD10002,PL001,FAC001,2025-01-03,Morning,2700,40,07:00:00,15:00:00,8.9,OP142,Passed,ML-65432-03,50,1190,"Economy filter production"
PB00044,PRD10003,PL020,FAC009,2025-01-03,Morning,2550,25,07:00:00,15:00:00,9.4,OP448,Passed,ML-98765-03,30,1300,"Heavy duty filter production"
PB00045,PRD10004,PL011,FAC004,2025-01-03,Morning,2050,18,07:00:00,15:00:00,11.7,OP338,Passed,ML-34567-03,20,1360,"Racing filter production"
PB00046,PRD10005,PL007,FAC002,2025-01-03,Morning,1850,15,07:00:00,15:00:00,13.0,OP268,Passed,ML-23456-03,25,1400,"Ceramic pad production"
PB00047,PRD10006,PL017,FAC006,2025-01-03,Morning,1750,20,07:00:00,15:00:00,13.7,OP372,Passed,ML-87654-03,30,1330,"Semi-metallic pad production"
PB00048,PRD10007,PL022,FAC009,2025-01-03,Morning,1550,12,07:00:00,15:00:00,15.5,OP451,Passed,ML-45678-03,15,1460,"Performance pad production"
PB00049,PRD10008,PL013,FAC004,2025-01-03,Morning,1350,11,07:00:00,15:00:00,17.8,OP341,Passed,ML-01234-03,10,1500,"Commercial pad production"
PB00050,PRD10009,PL014,FAC004,2025-01-03,Morning,1950,17,07:00:00,15:00:00,12.3,OP344,Passed,ML-67890-03,20,1260,"Standard air filter production"
PB00051,PRD10010,PL023,FAC009,2025-01-03,Morning,1750,16,07:00:00,15:00:00,13.7,OP454,Passed,ML-12345-03,15,1330,"High-flow air filter production"
