Line_ID,Line_Name,Facility_ID,Product_Category,Primary_Product_ID,Secondary_Product_ID,Line_Type,Installation_Date,Max_Capacity_Units_Day,Current_Efficiency_Percentage,Shift_Pattern,Line_Manager,Last_Maintenance_Date,Next_Maintenance_Date,Downtime_Hours_MTD,OEE_Score,Quality_Rating,Status
PL001,Oil Filter Line 1,FAC001,Oil Filters,PRD10001,PRD10002,Assembly,2018-05-12,3500,92.5,3 Shifts,James Wilson,2025-03-10,2025-06-10,12.5,85.3,A,Active
PL002,Oil Filter Line 2,FAC001,Oil Filters,PRD10003,PRD10004,Heavy Duty,2019-08-23,2800,89.7,3 Shifts,Maria Rodriguez,2025-03-05,2025-06-05,18.2,82.1,A,Active
PL003,Brake Pad Line 1,FAC001,Brake Pads,PRD10005,PRD10006,Precision,2020-02-15,2200,94.2,3 Shifts,Thomas Lee,2025-03-15,2025-06-15,8.7,88.9,A+,Active
PL004,Brake Pad Line 2,FAC001,Brake Pads,PRD10007,PRD10008,Performance,2020-06-30,1800,91.8,3 Shifts,Sophia Chen,2025-02-28,2025-05-28,14.3,84.5,A,Active
PL005,Air Filter Line,FAC001,Air Filters,PRD10009,PRD10010,Standard,2019-11-05,2200,90.5,3 Shifts,Daniel Martinez,2025-03-20,2025-06-20,15.8,83.2,A-,Active
PL006,Oil Filter Line 3,FAC002,Oil Filters,PRD10001,PRD10002,Assembly,2017-09-18,3200,88.3,3 Shifts,Emily Johnson,2025-02-15,2025-04-15,22.4,80.7,B+,Active
PL007,Brake Pad Line 3,FAC002,Brake Pads,PRD10005,PRD10006,Precision,2018-11-12,2000,93.1,3 Shifts,Michael Brown,2025-02-20,2025-04-20,10.2,86.5,A,Active
PL008,Air Filter Line 2,FAC002,Air Filters,PRD10011,PRD10012,Heavy Duty,2019-03-25,1900,89.8,3 Shifts,Jessica Taylor,2025-03-01,2025-05-01,16.7,82.3,A-,Active
PL009,Cabin Filter Line 1,FAC002,Cabin Filters,PRD10013,PRD10014,Standard,2020-01-10,2100,92.4,3 Shifts,David Garcia,2025-02-25,2025-04-25,12.1,85.8,A,Active
PL010,Alternator Line 1,FAC002,Alternators,PRD10017,PRD10018,Standard,2020-08-05,1500,95.2,3 Shifts,Sarah Williams,2025-03-08,2025-05-08,7.5,89.6,A+,Active
PL025,R&D Test Line 1,FAC003,Oil Filters,PRD10001,PRD10004,R&D,2020-05-15,500,85.0,1 Shift,Robert Chen,2025-01-20,2025-04-20,5.2,78.5,B+,Active
PL026,R&D Test Line 2,FAC003,Brake Pads,PRD10005,PRD10008,R&D,2020-06-20,400,86.5,1 Shift,Lisa Thompson,2025-01-25,2025-04-25,4.8,79.2,B+,Active
PL011,Oil Filter Line 4,FAC004,Oil Filters,PRD10003,PRD10004,Heavy Duty,2018-07-20,3000,91.2,3 Shifts,Robert Thompson,2025-03-12,2025-06-12,14.8,84.9,A,Active
PL012,Oil Filter Line 5,FAC004,Oil Filters,PRD10001,PRD10002,Assembly,2019-05-15,3300,90.5,3 Shifts,Jennifer Garcia,2025-03-18,2025-06-18,15.3,83.7,A-,Active
PL013,Brake Pad Line 4,FAC004,Brake Pads,PRD10007,PRD10008,Performance,2020-03-10,2100,93.8,3 Shifts,Christopher Davis,2025-03-02,2025-06-02,9.6,87.4,A,Active
PL014,Air Filter Line 3,FAC004,Air Filters,PRD10009,PRD10010,Standard,2019-10-08,2300,89.7,3 Shifts,Amanda Wilson,2025-02-25,2025-05-25,17.2,82.1,B+,Active
PL015,Cabin Filter Line 2,FAC004,Cabin Filters,PRD10015,PRD10016,Specialty,2020-04-22,1800,94.5,3 Shifts,Kevin Martinez,2025-03-15,2025-06-15,8.3,88.2,A+,Active
PL027,Prototype Line 1,FAC005,Air Filters,PRD10009,PRD10012,R&D,2019-08-15,600,87.2,1 Shift,David Wilson,2025-02-15,2025-05-15,6.5,80.1,B+,Active
PL028,Prototype Line 2,FAC005,Cabin Filters,PRD10013,PRD10016,R&D,2019-09-20,550,88.5,1 Shift,Rachel Adams,2025-02-20,2025-05-20,5.8,81.3,B+,Active
