Machine_ID,Machine_Name,Machine_Type,Manufacturer,Model_Number,Serial_Number,Installation_Date,Last_Maintenance_Date,Next_Maintenance_Date,Machine_Status,Max_Capacity_Units_Hour,Current_Efficiency_Percentage,Power_Consumption_kWh,Warranty_Expiration_Date,Purchase_Cost,Maintenance_Cost_Annual,Expected_Lifespan_Years,Software_Version,Control_System_Type,Product_Category
MCH001,Steel Stamping Press,Stamping,Schuler Group,SP-5000,SP5K-78542,2018-03-15,2025-02-10,2025-05-10,Active,450,92.5,75,2028-03-15,285000,12500,15,v3.2.1,Siemens S7-1500,Oil Filters
MCH002,Filter Housing Welder,Welding,FANUC,FW-2200,FW22-65432,2018-04-20,2025-02-15,2025-05-15,Active,380,94.3,65,2028-04-20,210000,9800,12,v4.1.0,FANUC R-30iB,Oil Filters
MCH003,Media Pleating Machine,Pleating,Grob Systems,PM-1500,PM15-98765,2018-05-05,2025-02-20,2025-05-20,Active,520,91.8,55,2028-05-05,175000,8200,10,v2.8.5,Allen-Bradley ControlLogix,Oil Filters
MCH004,Adhesive Dispenser,Dispensing,Nordson,AD-800,AD8-34567,2018-05-25,2025-02-25,2025-05-25,Active,600,93.5,40,2028-05-25,120000,5500,8,v5.3.2,Nordson ProBlue,Oil Filters
MCH005,End Cap Assembly,Assembly,Bosch Rexroth,ECA-3000,ECA3-23456,2018-06-10,2025-03-01,2025-06-01,Active,480,95.2,50,2028-06-10,195000,7800,12,v3.7.0,Bosch IndraMotion,Oil Filters
MCH006,Quality Testing Station,Testing,Keyence,QTS-1000,QTS1-87654,2018-06-25,2025-03-05,2025-06-05,Active,720,96.5,35,2028-06-25,145000,6200,15,v6.2.1,Keyence CV-X Series,Oil Filters
MCH007,Packaging System,Packaging,Krones,PKG-2500,PKG25-45678,2018-07-10,2025-03-10,2025-06-10,Active,850,94.8,45,2028-07-10,165000,7100,10,v4.5.3,Siemens SIMATIC,Oil Filters
MCH008,Steel Backing Plate Press,Stamping,Schuler Group,BP-4000,BP4K-12345,2019-02-15,2025-01-20,2025-04-20,Active,320,93.2,80,2029-02-15,310000,13500,15,v3.2.1,Siemens S7-1500,Brake Pads
MCH009,Friction Material Mixer,Mixing,Bühler Group,FMM-1800,FMM18-67890,2019-03-10,2025-01-25,2025-04-25,Active,250,91.5,95,2029-03-10,340000,15200,12,v2.9.4,Allen-Bradley CompactLogix,Brake Pads
MCH010,Friction Material Applicator,Application,Nordson,FMA-2200,FMA22-90123,2019-03-25,2025-02-01,2025-05-01,Active,280,92.8,85,2029-03-25,295000,13800,10,v5.3.2,Nordson ProBlue,Brake Pads
